sample_id,domain,question,ground_truth_answer,retrieved_context,llm_response_without_rag,llm_response_with_rag,hallucination_label_without_rag,hallucination_label_with_rag,hallucination_type,factual_consistency_score,context_relevance_score,source_support_label,final_target_label
62,technology,What does HTML stand for?,HyperText Markup Language,HTML stands for HyperText Markup Language.,It is commonly stated as Home Tool Markup Language.,"Using the retrieved evidence, HyperText Markup Language.",1,0,factual_error,0.18,0.73,supported,0
63,technology,I need the correct answer: What is an operating system?,Software that manages computer hardware and software,An operating system is software that manages computer hardware and software resources.,The answer is Software that manages computer hardware and software.,"Based on the context, Software that manages computer hardware and software, although some sources mention A physical cable.",0,1,partially_correct,0.63,0.78,partially_supported,1
64,geography,"Using reliable knowledge, What is the capital of Canada?",Ottawa,Ottawa is the capital of Canada.,It is Ottawa.,"Using the retrieved evidence, Ottawa.",0,0,none,0.89,0.91,supported,0
65,science,I need the correct answer: What process do plants use to make food?,Photosynthesis,Plants use photosynthesis to make food.,Photosynthesis.,"Based on the provided context, the correct answer is Photosynthesis.",0,0,none,0.91,0.98,supported,0
66,health,Please answer briefly: Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,The answer is White blood cells.,"Based on the provided context, the correct answer is White blood cells.",0,0,none,1.0,0.72,supported,0
67,geography,"Using reliable knowledge, What is the capital of Japan?",Tokyo,Tokyo is the capital of Japan.,It is commonly stated as Kyoto.,"Using the retrieved evidence, Tokyo.",1,0,factual_error,0.15,0.74,supported,0
68,history,I need the correct answer: Who wrote the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,The answer is James Madison.,"Using the retrieved evidence, Thomas Jefferson.",1,0,factual_error,0.09,0.9,supported,0
69,health,I need the correct answer: What mineral is important for strong bones?,Calcium,Calcium is important for strong bones and teeth.,It is Calcium.,The context supports this answer: Calcium.,0,0,none,0.99,0.83,supported,0
70,physics,Please answer briefly: What device measures temperature?,Thermometer,A thermometer measures temperature.,"Thermometer, but it is sometimes confused with Voltmeter.","Based on the context, the answer is Speedometer.",1,1,factual_error,0.42,0.8,partially_supported,1
71,finance,Please answer briefly: What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",The answer is A salary payment.,"Based on the provided context, the correct answer is Borrowed money that must be repaid.",1,0,factual_error,0.25,0.92,supported,0
72,finance,Can you answer this: What is interest in banking?,The cost of borrowing money or reward for saving,Interest is the cost of borrowing money or the reward for saving.,The cost of borrowing money or reward for saving.,The context supports this answer: The cost of borrowing money or reward for saving.,0,0,none,0.93,0.85,supported,0
73,biology,Please answer briefly: What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,Carbon dioxide.,The context supports this answer: Oxygen.,1,0,factual_error,0.36,0.88,supported,0
74,technology,Can you answer this: What does URL stand for?,Uniform Resource Locator,URL stands for Uniform Resource Locator.,"Uniform Resource Locator, but it is sometimes confused with User Resource Locator.",The context supports this answer: Uniform Resource Locator.,1,0,partially_correct,0.55,0.94,supported,0
75,history,"Using reliable knowledge, In which year did World War II end?",1945,World War II ended in 1945.,1950.,"Based on the provided context, the correct answer is 1945.",1,0,contradiction,0.04,0.82,supported,0
76,chemistry,Can you answer this: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,It is commonly stated as 8.,"Based on the provided context, the correct answer is 7.",1,0,unsupported_claim,0.25,0.88,supported,0
77,technology,Please answer briefly: What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.",Central Processing Unit.,"Based on the provided context, the correct answer is Central Processing Unit.",0,0,none,0.98,0.89,supported,0
78,biology,Can you answer this: What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,"Oxygen, but it is sometimes confused with Carbon dioxide.","Based on the context, the answer is Nitrogen only.",1,1,factual_error,0.14,0.69,not_supported,1
79,physics,Can you answer this: What unit is used to measure force?,Newton,Force is measured in newtons.,The answer is Newton.,The context supports this answer: Newton.,0,0,none,0.98,0.93,supported,0
80,chemistry,Please answer briefly: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,7.,"Using the retrieved evidence, 7.",0,0,none,0.98,0.76,supported,0
81,biology,Can you answer this: What organelle is known as the powerhouse of the cell?,Mitochondria,Mitochondria are known as the powerhouse of the cell.,Golgi bodies.,"Based on the provided context, the correct answer is Mitochondria.",1,0,contradiction,0.24,0.77,supported,0
82,geography,What is the capital of Japan?,Tokyo,Tokyo is the capital of Japan.,The answer is Seoul.,"Using the retrieved evidence, Tokyo.",1,0,contradiction,0.31,0.9,supported,0
83,finance,"Using reliable knowledge, What is inflation?",A general rise in prices,Inflation is a general rise in prices over time.,It is commonly stated as A fall in prices.,"Based on the provided context, the correct answer is A general rise in prices.",1,0,unsupported_claim,0.12,0.72,supported,0
84,science,What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,The answer is The proton.,"Based on the context, the answer is The shell.",1,1,unsupported_claim,0.35,0.51,partially_supported,1
85,chemistry,I need the correct answer: What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,It is Au.,"Using the retrieved evidence, Au.",0,0,none,0.95,0.82,supported,0
86,literature,Who wrote 'The Odyssey'?,Homer,Homer is traditionally credited with writing 'The Odyssey'.,The answer is Plato.,"Based on the context, the answer is Socrates.",1,1,unsupported_claim,0.43,0.64,not_supported,1
87,history,Can you answer this: In which year did World War II end?,1945,World War II ended in 1945.,1944.,"Using the retrieved evidence, 1945.",1,0,contradiction,0.23,0.77,supported,0
88,biology,Please answer briefly: What organelle is known as the powerhouse of the cell?,Mitochondria,Mitochondria are known as the powerhouse of the cell.,The answer is Mitochondria.,"According to the retrieved context, Mitochondria.",0,0,none,0.98,0.78,supported,0
89,science,Can you answer this: What process do plants use to make food?,Photosynthesis,Plants use photosynthesis to make food.,Photosynthesis.,"Using the retrieved evidence, Photosynthesis.",0,0,none,0.97,0.89,supported,0
90,science,What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,The answer is The nucleus.,"Based on the provided context, the correct answer is The nucleus.",0,0,none,0.9,0.76,supported,0
91,history,Can you answer this: Who discovered America in 1492 according to traditional European accounts?,Christopher Columbus,Christopher Columbus reached the Americas in 1492 according to traditional European accounts.,It is commonly stated as Marco Polo.,"Using the retrieved evidence, Christopher Columbus.",1,0,factual_error,0.09,0.74,supported,0
92,biology,I need the correct answer: What organelle is known as the powerhouse of the cell?,Mitochondria,Mitochondria are known as the powerhouse of the cell.,The answer is Golgi bodies.,"Using the retrieved evidence, Mitochondria.",1,0,factual_error,0.05,0.8,supported,0
93,finance,Please answer briefly: What does GDP stand for?,Gross Domestic Product,"GDP stands for Gross Domestic Product, a measure of the total value of goods and services produced.",It is commonly stated as Global Development Product.,"Using the retrieved evidence, Gross Domestic Product.",1,0,factual_error,0.04,0.86,supported,0
94,history,"Using reliable knowledge, Who was the first President of the United States?",George Washington,George Washington served as the first President of the United States from 1789 to 1797.,The answer is George Washington.,"Based on the provided context, the correct answer is George Washington.",0,0,none,1.0,0.91,supported,0
95,health,Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,It is commonly stated as Vitamin A.,"Based on the provided context, the correct answer is Vitamin D.",1,0,factual_error,0.14,0.78,supported,0
96,technology,What does RAM stand for?,Random Access Memory,RAM stands for Random Access Memory.,It is Random Access Memory.,The context supports this answer: Random Access Memory.,0,0,none,0.99,0.85,supported,0
97,chemistry,"Using reliable knowledge, What is the chemical symbol for gold?",Au,The chemical symbol for gold is Au.,The answer is Au.,The context supports this answer: Au.,0,0,none,0.94,0.99,supported,0
98,literature,"Using reliable knowledge, Who wrote 'Romeo and Juliet'?",William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,"William Shakespeare, but it is sometimes confused with Charles Dickens.","According to the retrieved context, William Shakespeare.",1,0,partially_correct,0.54,0.83,supported,0
99,geography,Please answer briefly: What is the capital of Canada?,Ottawa,Ottawa is the capital of Canada.,Ottawa.,The context supports this answer: Ottawa.,0,0,none,0.97,0.79,supported,0
100,chemistry,Please answer briefly: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,8.,The context supports this answer: 7.,1,0,unsupported_claim,0.37,0.86,supported,0
101,health,Can you answer this: Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,It is commonly stated as Vitamin C.,"According to the retrieved context, Vitamin D.",1,0,unsupported_claim,0.26,0.78,supported,0
102,geography,"Using reliable knowledge, What is the smallest continent by land area?",Australia,Australia is the smallest continent by land area.,Europe.,"According to the retrieved context, Australia.",1,0,unsupported_claim,0.3,0.9,supported,0
103,science,"Using reliable knowledge, What is the center of an atom called?",The nucleus,The center of an atom is called the nucleus.,It is The nucleus.,"Using the retrieved evidence, The nucleus.",0,0,none,0.9,0.78,supported,0
104,geography,I need the correct answer: Which continent is the Sahara Desert located on?,Africa,The Sahara Desert is located in Africa.,South America.,"Using the retrieved evidence, Africa.",1,0,unsupported_claim,0.39,0.78,supported,0
105,health,"Using reliable knowledge, Which blood cells help fight infection?",White blood cells,White blood cells help the body fight infection.,White blood cells.,The context supports this answer: White blood cells.,0,0,none,0.97,1.0,supported,0
106,science,What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,"The nucleus, but it is sometimes confused with The orbit.","Based on the context, the answer is The shell.",1,1,factual_error,0.23,0.53,partially_supported,1
107,science,Can you answer this: What gas do plants absorb from the atmosphere?,Carbon dioxide,Plants absorb carbon dioxide from the atmosphere during photosynthesis.,The answer is Carbon dioxide.,"Based on the provided context, the correct answer is Carbon dioxide.",0,0,none,0.92,0.87,supported,0
108,finance,Can you answer this: What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",The answer is Borrowed money that must be repaid.,"Based on the provided context, the correct answer is Borrowed money that must be repaid.",0,0,none,0.96,0.75,supported,0
109,health,Please answer briefly: Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,It is Vitamin D.,"Using the retrieved evidence, Vitamin D.",0,0,none,0.99,0.78,supported,0
110,finance,Can you answer this: What is interest in banking?,The cost of borrowing money or reward for saving,Interest is the cost of borrowing money or the reward for saving.,It is commonly stated as A government subsidy.,"According to the retrieved context, The cost of borrowing money or reward for saving.",1,0,contradiction,0.14,0.82,supported,0
111,physics,What is the speed of light in vacuum?,"About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 150,000 km/s.","Using the retrieved evidence, About 299,792 km/s.",1,0,contradiction,0.13,0.96,supported,0
112,health,I need the correct answer: Which organ filters blood to produce urine?,Kidneys,The kidneys filter blood to produce urine.,Kidneys.,"According to the retrieved context, Kidneys.",0,0,none,0.98,0.74,supported,0
113,literature,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,The answer is William Shakespeare.,"According to the retrieved context, William Shakespeare.",0,0,none,0.99,0.92,supported,0
114,health,Please answer briefly: Which organ pumps blood through the body?,The heart,The heart pumps blood throughout the body.,The heart.,"Based on the provided context, the correct answer is The heart.",0,0,none,0.94,0.88,supported,0
115,finance,Please answer briefly: What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",Borrowed money that must be repaid.,"According to the retrieved context, Borrowed money that must be repaid.",0,0,none,1.0,0.8,supported,0
116,history,Who wrote the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,It is commonly stated as James Madison.,The context supports this answer: Thomas Jefferson.,1,0,unsupported_claim,0.27,0.88,supported,0
117,finance,I need the correct answer: What is a stock?,A share of ownership in a company,A stock represents a share of ownership in a company.,It is A share of ownership in a company.,"Based on the provided context, the correct answer is A share of ownership in a company.",0,0,none,1.0,0.85,supported,0
118,health,Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,Vitamin B12.,The context supports this answer: Vitamin D.,1,0,unsupported_claim,0.14,0.87,supported,0
119,finance,What is interest in banking?,The cost of borrowing money or reward for saving,Interest is the cost of borrowing money or the reward for saving.,The cost of borrowing money or reward for saving.,"Using the retrieved evidence, The cost of borrowing money or reward for saving.",0,0,none,0.99,0.76,supported,0
120,technology,I need the correct answer: What does HTML stand for?,HyperText Markup Language,HTML stands for HyperText Markup Language.,HyperText Markup Language.,"Based on the provided context, the correct answer is HyperText Markup Language.",0,0,none,0.97,0.89,supported,0
121,physics,"Using reliable knowledge, What device measures temperature?",Thermometer,A thermometer measures temperature.,The answer is Thermometer.,"Using the retrieved evidence, Thermometer.",0,0,none,0.89,0.79,supported,0
122,geography,"Using reliable knowledge, What is the smallest continent by land area?",Australia,Australia is the smallest continent by land area.,It is Australia.,"According to the retrieved context, Australia.",0,0,none,0.92,0.96,supported,0
123,technology,I need the correct answer: What does AI stand for?,Artificial Intelligence,AI stands for Artificial Intelligence.,Artificial Intelligence.,"Based on the provided context, the correct answer is Artificial Intelligence.",0,0,none,0.95,0.91,supported,0
124,chemistry,Please answer briefly: What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,"Au, but it is sometimes confused with Fe.","Using the retrieved evidence, Au.",1,0,partially_correct,0.64,0.72,supported,0
125,history,"Using reliable knowledge, Who wrote the Declaration of Independence?",Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,Benjamin Franklin.,"According to the retrieved context, Thomas Jefferson.",1,0,unsupported_claim,0.13,0.79,supported,0
126,history,I need the correct answer: The Great Wall is primarily located in which country?,China,The Great Wall is primarily located in China.,The answer is Bhutan.,"According to the retrieved context, China.",1,0,factual_error,0.35,0.85,supported,0
127,geography,What is the largest ocean on Earth?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,Pacific Ocean.,"According to the retrieved context, Pacific Ocean.",0,0,none,0.85,0.75,supported,0
128,finance,I need the correct answer: What is a budget?,A plan for income and expenses,A budget is a plan that tracks income and expenses.,It is A plan for income and expenses.,"Using the retrieved evidence, A plan for income and expenses.",0,0,none,0.99,0.75,supported,0
129,literature,"Using reliable knowledge, Who wrote 'The Odyssey'?",Homer,Homer is traditionally credited with writing 'The Odyssey'.,It is commonly stated as Socrates.,"Based on the provided context, the correct answer is Homer.",1,0,contradiction,0.24,0.8,supported,0
130,history,I need the correct answer: In which year did World War II end?,1945,World War II ended in 1945.,1939.,"Based on the provided context, the correct answer is 1945.",1,0,contradiction,0.19,0.94,supported,0
131,biology,"Using reliable knowledge, What gas do humans need to breathe to survive?",Oxygen,Humans need oxygen to survive.,It is commonly stated as Carbon dioxide.,"Using the retrieved evidence, Oxygen.",1,0,contradiction,0.03,0.96,supported,0
132,science,"Using reliable knowledge, What is the center of an atom called?",The nucleus,The center of an atom is called the nucleus.,The answer is The nucleus.,"Using the retrieved evidence, The nucleus.",0,0,none,0.91,0.87,supported,0
